"date;tavg;tmin;tmax;prcp;snow;wdir;wspd;wpgt;pres;tsun"
"20190101;4.2;0.5;4.8;2.2;0;270;18.7;71.6;1028.8;0"
"20190102;0.3;-2.7;2.2;0;0;309;21.6;52.9;1031.3;42"
"20190103;-2.8;-4.9;-1;0.1;0;289;10.1;23.4;1037.7;36"
"20190104;-1;-2;0;2;0;285;14;37.4;1035.6;0"
"20190105;0.7;-0.2;2.3;13.3;20;279;23;50.4;1028.3;0"
"20190106;2.5;1.9;3;4.7;0;283;15.8;30.2;1030.1;0"
"20190107;1.7;0.5;2.7;1.3;0;273;14.4;32;1032.1;0"
"20190108;2.1;0.5;4.2;7.3;0;264;27;66.2;1016.2;6"
"20190109;-0.6;-1.8;1.2;1.3;10;305;23;54.7;1013.6;0"
"20190110;-1.5;-6.4;-0.8;0.2;30;344;13.3;32.8;1023.1;0"
"20190111;-3.3;-6.9;-0.6;3.1;40;250;11.2;38.2;1025.9;0"
"20190112;0.5;-0.6;1.5;7.7;60;260;19.1;45;1021;0"
"20190113;3.4;0.6;6.6;11.8;20;260;23;68.4;1007.9;0"
"20190114;2.4;0.2;5.1;2.9;0;295;22;55.4;1010.9;24"
"20190115;1.4;-0.1;2.9;0;0;267;19.1;41.8;1021.3;6"
"20190116;2.4;0.2;5.2;0;0;224;12.2;28.4;1014.5;288"
"20190117;3.5;-0.8;6;2;0;247;20.5;64.8;1008;12"
"20190118;-1.4;-5.7;1.2;0;0;307;11.2;38.5;1019.6;138"
"20190119;-4.6;-8.8;0.2;0;0;108;8.6;28.8;1018.4;468"
"20190120;-6.9;-9.6;-5.1;0;0;88;6.5;17.6;1018.4;0"
"20190121;-5.7;-9.4;-1.6;0;0;89;5.8;20.5;1022.5;438"
"20190122;-5.1;-7;-4.2;0;0;178;10.4;28.8;1013;0"
"20190123;-5.5;-7.1;-4.8;1.4;0;111;10.4;23.8;1001.5;0"
"20190124;-5.5;-6.8;-2.7;0.1;40;329;5;16.9;1010.3;0"
"20190125;-4.8;-7.7;-2.1;0.9;70;248;10.1;32.8;1017.6;48"
"20190126;0.8;-2.6;2.9;1.7;60;245;18.7;46.8;1011;0"
"20190127;2.9;0.4;6.3;1.4;10;195;16.9;45.7;994.8;78"
"20190128;0.2;-0.8;0.9;1.7;0;253;23.4;49;998.4;0"
"20190129;-1.3;-4.9;2.5;0;10;251;13;39.6;1006.9;102"
"20190130;-1.6;-5.5;2.1;0.2;0;171;15.5;50.8;998.1;90"
"20190131;-2.9;-7.6;1.3;0.8;0;151;7.9;29.9;999.7;228"
"20190201;0;-1.7;1.4;4.4;10;110;7.6;25.9;993.2;0"
"20190202;1.2;-0.4;5.1;0.1;0;170;4.7;14;997.8;96"
"20190203;-0.1;-1;1.3;0.4;0;339;16.2;48.6;1015.4;0"
"20190204;-1.9;-6.6;1.8;0;0;186;6.8;26.3;1030.7;504"
"20190205;-3.2;-6.4;1.7;0;0;171;6.5;16.9;1031.1;432"
"20190206;-5;-5.8;-2.9;0;0;153;8.6;20.2;1029.3;108"
"20190207;-1.8;-5.8;3.2;1.5;0;176;7.6;22;1018.9;0"
"20190208;2.6;-0.8;6.9;0.3;0;184;10.8;33.1;1018.8;414"
"20190209;5.2;1.5;8.5;0.1;0;225;19.1;56.9;1013.3;204"
"20190210;5.2;2.1;10.9;5.7;0;200;23.4;68.8;1004.8;0"
"20190211;2;0;3.8;0.3;0;277;24.8;54.7;1017.5;24"
"20190212;1.2;0;2.3;0;0;277;14.4;36.7;1034.6;6"
"20190213;1.3;-3.3;7.7;0;0;192;4;14;1038.5;486"
"20190214;1.4;-3.8;10.8;0;0;254;2.9;14;1038.4;348"
"20190215;3.4;-4.2;13.4;0;0;111;5;23.4;1035.1;552"
"20190216;3.4;-3.9;13.7;0;0;152;4;14;1030.5;546"
"20190217;3.4;-3.7;13.7;0;0;251;4;14;1026.8;558"
"20190218;3.6;-3.6;14.7;0;0;262;3.6;16.2;1022.3;564"
"20190219;2.9;-3;10;0;0;250;7.9;38.5;1022;222"
"20190220;2.8;-4.4;9.2;0;0;232;5.4;25.6;1026.1;312"
"20190221;4.4;-2.1;9.5;0;0;262;6.1;22.7;1029.4;78"
"20190222;6.7;0.1;9.5;0;0;340;11.9;31.3;1034.5;12"
