date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01,1.1,-1,4,0,,162,11.2,25.9,1013.5,18
2014-01-02,3.9,0.7,6.8,0.3,,156,13.7,29.5,1007,6
2014-01-03,6.5,2.6,9.2,0,,188,11.9,44.6,1008.9,228
2014-01-04,6.4,4.8,8.7,0,,162,12.2,32.8,1008,72
2014-01-05,5.5,2.3,7.6,0.5,,217,10.4,27,1005.2,0
2014-01-06,4.8,0.6,8.2,9.6,,182,12.6,39.2,1011.2,36
2014-01-07,9,7.3,11.5,1.6,,202,14.4,36,1013.5,330
2014-01-08,8.4,5.1,10.7,1.5,,219,14.4,53.6,1015.8,72
2014-01-09,8.1,4.1,12.1,1,,198,16.2,59.8,1007,0
2014-01-10,6.7,5.2,7.6,0.2,,260,24.5,57.6,1010.2,12
2014-01-11,5.3,3.6,8.1,2.6,,229,16.6,61.2,1013,312
2014-01-12,4.3,1.9,5.8,0,,270,23.4,56.2,1018.4,138
2014-01-13,2,-0.7,3.6,0,,163,9.4,32,1014,24
2014-01-14,3.9,2.4,5.5,0,,102,7.6,22.3,1009.4,60
2014-01-15,3.3,2.5,4,0.1,,84,8.6,22.3,1010.9,0
2014-01-16,2.3,1.3,3.5,6.3,,120,14.8,31,1006.9,0
2014-01-17,5.4,3.4,7.6,0,,167,7.2,22.3,1004.1,6
2014-01-18,3.6,1,6.1,0,,131,13,39.6,1008.3,252
2014-01-19,0.2,-3,4.4,0,,83,24.8,47.2,1007.9,0
2014-01-20,-2.6,-3.3,-1.8,0.3,,72,19.8,39.6,1008.3,0
2014-01-21,-3.2,-4.7,-2.2,2.6,,67,11.5,21.6,1012.7,0
2014-01-22,-5.4,-5.8,-4.5,0,,78,14.8,27.4,1018.2,0
2014-01-23,-5.4,-6.6,-4.5,0,,90,16.6,34.9,1020.4,42
2014-01-24,-7.5,-12.9,-5.4,0.2,,77,20.5,38.9,1020.3,0
2014-01-25,-12,-13.7,-8.7,0,,91,13.7,32.4,1024.5,330
2014-01-26,-11.5,-13.7,-9.1,0.1,,104,15.8,37.4,1012.2,204
2014-01-27,-4.5,-9.1,-2.4,2.5,,113,13,33.5,999.9,0
