tag,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
01,18.1,13.8,23.6,0.3,,225,13.1,,1015.8,
02,20.2,14,27.8,0,,187,6.4,,1020.1,
03,19.4,14.4,26.1,0,,41,6.5,,1025.6,
04,20.7,12,27.7,0,,90,14.6,,1025.4,
05,21,14.4,28.1,0,,99,16.6,,1021.4,
06,19.9,10.5,29.3,0,,87,11.3,,1020.5,
07,20.4,12.5,29.7,0,,90,11.9,,1019.7,
08,21,12.4,29.6,0,,83,8.4,,1018.5,
09,21.6,14.2,30.3,0,,96,6.6,,1017.7,
10,21.8,14.4,30.6,0,,26,5.6,,1018,
11,21.5,13.5,30.4,0,,107,6,,1015.1,
12,22.8,14.2,31,0.1,,183,7.3,,1012.6,
13,19.9,17.8,23.2,0,,274,10.9,,1016.4,
14,17.1,11.4,23.3,0,,26,7.5,,1021.3,
15,17.9,9.4,26.7,0,,84,10.6,,1017.9,
16,21.1,12.6,29.2,0,,96,8.7,,1014.9,
17,23.5,15.7,29.8,0.9,,157,8.5,,1014.6,
18,19.7,16.3,23.6,4.3,,183,11.8,,1010.7,
19,18.4,15.1,22.2,0,,243,16.9,,1014.8,
20,19.3,14.9,26.2,0.2,,173,10.1,,1012.7,
21,19.2,13.7,26.8,10.6,,177,9.5,,1003.4,
22,15.2,12,19.7,2.9,,209,14.2,,1005.5,
23,13.6,8.6,18.5,0,,248,12.3,,1016.9,
24,12.6,5.9,20.6,0,,126,7.9,,1026,
25,14.2,6.5,22.5,0,,100,10.7,,1024.2,
26,15.3,7.2,24.5,0,,104,6.2,,1021.9,
27,16.2,7.9,25.7,0,,127,7.4,,1020.2,
28,18.1,11.4,27.6,0,,180,7.4,,1018.6,
29,18.9,11.2,27.7,0,,210,14.4,,1019.9,
30,15.9,10.1,21.3,0,,312,9,,1026.5,
