date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
20210101,2,0.5,3.6,0,0,,,,,
20210102,0.9,0.8,2.4,3,0,45,8.6,,1012.7,
20210103,0.3,0.4,1,2.9,40,287,4.6,,1011.7,
20210104,0.6,0.2,1.6,0,20,87,7.2,,1013.8,
20210105,1.3,0.2,2.2,0.2,0,41,8.8,,1012.9,
20210106,0.8,0.3,1.3,3.9,0,343,8.7,,1013.4,
20210107,1.4,0.5,3.7,0.6,0,247,9.8,,1015.5,
20210108,0.6,0.2,0.9,0.6,10,244,13,,1016.8,
20210109,0,3.8,2.3,0,0,14,7.2,,1022.7,
20210110,2.2,5.5,1.9,0,0,75,8.6,,1025.3,
20210111,3.3,7.6,0.4,0.3,0,164,6.8,,1023.9,
20210112,1.3,0.4,2.8,16.7,10,232,18.3,,1014.4,
20210113,1.4,1.9,3.1,0.1,20,260,14.7,,1018.3,
20210114,1.3,0.7,2.9,0,10,336,11.5,,1018.6,
20210115,1.2,4.9,2.2,0,10,49,10.5,,1024.1,
20210116,1.4,3.1,0.3,1.9,10,253,8.1,,1027,
20210117,1.1,3.1,1.8,2,40,229,7.3,,1020.2,
20210118,2.1,0.9,3.1,0.4,20,250,15.4,,1026,
20210119,2.5,1.3,4.6,2.4,0,207,15.3,,1018.6,
20210120,7.2,4.1,10,0,0,181,15.8,,1008.4,
20210121,10.4,6.2,12.9,0.7,0,192,20.3,,1001.4,
20210122,8,0.2,13.3,10.4,0,206,16.6,,995,
20210123,2.5,0.2,5.1,3.4,10,210,12.4,,997.9,
20210124,1,1.8,2.7,1.3,0,227,19.2,,999.8,
20210125,0,2,0.9,4.6,20,248,9.1,,1005,
20210126,1.1,0.8,2.2,0,30,256,18.8,,1018.7,
20210127,0.6,1.4,2.3,1.4,10,203,10.6,,1017.6,
20210128,7,2.1,11.6,15.8,10,232,19.1,,1007.6,
20210129,9.1,7.3,11.1,6.4,0,242,24,,1001.3,
20210130,5.7,0.9,9,2.6,0,227,15.1,,1000.8,
20210131,2.1,0.8,3.7,0.4,0,100,13.3,,1000.6,
20210201,5.6,2,8.2,6.7,0,186,12.5,,995.8,
20210202,8.6,5.7,11.6,6.3,0,229,15.4,,1005,
20210203,10.6,9,11.7,12,0,213,19,,1004,
20210204,7.6,5.1,10.4,1.5,0,218,12.6,,1014.8,
20210205,7,5.1,9,4.1,0,129,5.4,,1013.3,
20210206,7.3,5.5,9,0.1,0,90,11.1,,1006.6,
20210207,5.1,1.6,7.4,7.4,0,148,11.5,,997.8,
20210208,1.9,4.7,1.6,2.2,0,350,7.6,,997.7,
20210209,4.3,6.3,2.5,0.4,30,355,6.3,,1004.5,
20210210,7.4,10.6,6.2,2.3,30,37,13.4,,1009.4,
20210211,8.3,13.4,2.5,0.2,40,70,6.2,,1027.7,
20210212,7.6,12.6,3.6,0.1,40,79,16,,1031.3,
20210213,6.2,10.5,2.3,0,30,82,17.3,,1037.9,
20210214,3.1,10,3.6,0,20,107,15.1,,1039.6,
20210215,0.7,6.1,4,0.7,20,168,11.4,,1032.6,
20210216,4.9,0.9,10.3,1,10,178,9.4,,1021.7,
20210217,8,2.3,11,0,0,240,15.2,,1020.8,
20210218,6.9,1.3,13.6,0.2,0,159,12.3,,1016.7,
20210219,8.7,6.1,12.8,0,0,190,10.5,,1019.5,
20210220,9.4,2.3,17.4,0,0,162,10.4,,1018.7,
20210221,9.9,2.1,19.5,0,0,132,9.9,,1018.3,
20210222,6.8,0.5,15.3,0,0,146,8.5,,1022,
20210223,9.3,1.4,20.1,0,0,173,7.4,,1033.1,
20210224,11.4,4.2,20.6,0,0,156,8.3,,1033.3,
20210225,10.6,2.1,20,0,0,167,6.8,,1029.3,
20210226,7.5,2,13.9,0.8,0,272,9.4,,1031.2,
20210227,4.5,0.3,9.8,0,0,45,11.2,,1037.5,
20210228,4.3,1.2,10.7,0,0,71,13.5,,1035.5,
20210301,5.9,1.3,14.6,0,0,86,11.5,,1032.6,
20210302,7.1,0.6,16.6,0,0,113,6.6,,1032.3,
20210303,5.8,0.1,11.8,0,0,210,6.6,,1029.5,
20210304,9.6,5.2,15.5,5.3,0,229,10.5,,1020.7,
20210305,3,2.2,5.8,0.8,0,7,12.3,,1024.3,
20210306,1.1,4.7,7.2,0.2,0,84,12.6,,1031.4,
20210307,0.9,5.4,8.4,0,0,51,6.7,,1024.2,
20210308,1.4,6,8.2,0,0,59,8.7,,1022,
20210309,2.4,3.1,7.8,0.2,0,78,5.5,,1019.6,
20210310,6.1,3.3,9.9,0,0,239,9.5,,1020,
20210311,9.8,7.2,13.5,6,0,224,21.9,,1008.7,
20210312,7.2,4,10.5,1.8,0,240,24.2,,1011.9,
20210313,6.8,3,10.8,8.4,0,230,26,,1005.8,
20210314,4.1,2.3,7.1,4.1,0,258,18.7,,1011.5,
20210315,4.5,2.6,8.8,5.8,0,266,15.6,,1014.1,
20210316,4.4,3,7.7,1.4,0,280,14.3,,1021.9,
20210317,3,0.5,6.7,3.3,0,331,6.8,,1023.3,
20210318,2.6,0.7,7.3,0.6,0,352,5,,1023.1,
20210319,2,1.5,5.6,0.7,0,49,9.4,,1020.2,
20210320,1.2,1.8,4.6,0.1,0,50,8.8,,1027.4,
20210321,4.1,1.7,6.8,0,0,262,11.1,,1021.9,
20210322,4.9,3.3,6.9,0,0,316,7.9,,1023.3,
20210323,5.1,0.1,8.4,0,0,293,3.9,,1026.7,
20210324,6.2,2.1,15.2,0,0,184,6,,1025,
20210325,9.1,0.2,17.7,0,0,220,9,,1021.6,
20210326,10.8,3.1,18.4,1.2,0,190,8.1,,1020,
20210327,9.1,6.2,11.8,0,0,249,20.4,,1024.1,
20210328,10.5,5.8,16,0,0,,,,,
20210329,12.5,4.9,21.2,0,0,208,7.5,,1032.1,
20210330,13.7,2.9,24.1,0,0,108,5.7,,1031,
20210331,15.1,5.4,25.5,0,0,173,6.9,,1024.4,
20210401,15.2,5.7,23.1,0,0,256,8.7,,1019.4,
20210402,9.4,5.1,14.4,0,0,11,10.9,,1020.6,
20210403,6.7,1.5,12.3,0,0,359,9.8,,1023.9,
20210404,6.3,1.3,13.4,0,0,1,5.7,,1022.7,
20210405,4.8,1,10.3,2.2,0,255,18.3,,1011.9,
20210406,0.9,1.5,5.1,1.8,0,262,16.9,,1013.9,
20210407,1.2,0.7,3.6,0.1,10,269,20.2,,1018.4,
20210408,4,0.3,9.3,0,0,253,10.2,,1025.7,
20210409,8.6,1.8,16.2,0,0,189,11.3,,1018.2,
20210410,13,11,16.3,0,0,177,10.6,,1014.2,
20210411,12.9,3.9,18.9,12.7,0,221,12.2,,1011.1,
20210412,4.2,0.7,9.1,0,0,311,11.6,,1024.9,
20210413,3.4,2.2,10,0.1,0,7,8.8,,1030.3,
20210414,3,2.5,8.6,0,0,32,8.2,,1028.8,
20210415,3.1,3.3,10,0,0,44,10,,1027.2,
20210416,3.6,1.6,7.6,0,0,45,10.2,,1025.7,
20210417,6.3,1.7,11.9,0,0,38,9,,1023,
20210418,7.4,3.7,11.2,0.4,0,2,5,,1020.9,
20210419,7.4,3.1,10.4,0.3,0,212,4.3,,1019.4,
20210420,8.4,0.7,16.5,0,0,126,3.8,,1017.3,
20210421,11.6,1.7,19.6,0,0,341,5.3,,1016,
20210422,9.8,3.6,15.8,0,0,3,9.6,,1021.9,
20210423,9.5,0.5,17.5,0,0,41,7,,1026.8,
20210424,11.3,1.1,20.1,0,0,49,7.1,,1023.7,
20210425,10.3,3.6,16.7,0,0,36,10.9,,1022.5,
20210426,9.6,1.9,16.1,0,0,61,14.1,,1017.5,
20210427,10.4,3.3,17.9,0,0,74,12.6,,1009.1,
20210428,13.9,3.6,22.1,1.5,0,157,9.8,,1003.9,
20210429,11.6,5.9,16.8,0.2,0,248,13.4,,1006.1,
